Label,mean_test_score,rank_test_score,param_C,param_degree,param_kernel,mean_fit_time
Two,0.5926605504587156,13,1.0,2,linear,2.292131185531616
Two,0.5743119266055046,35,1.0,2,poly,3.993809127807617
Two,0.5724770642201835,36,1.0,2,rbf,4.382266283035278
Two,0.5926605504587156,13,1.0,3,linear,2.5252702236175537
Two,0.5357798165137615,47,1.0,3,poly,4.430473566055298
Two,0.5724770642201835,36,1.0,3,rbf,3.7446659564971925
Two,0.5926605504587156,13,1.0,4,linear,2.364283323287964
Two,0.5302752293577981,50,1.0,4,poly,3.8107579708099366
Two,0.5724770642201835,36,1.0,4,rbf,4.07335057258606
Two,0.5926605504587156,13,1.5,2,linear,2.9072718620300293
Two,0.5871559633027523,28,1.5,2,poly,3.9832618713378904
Two,0.58348623853211,32,1.5,2,rbf,4.247754621505737
Two,0.5926605504587156,13,1.5,3,linear,2.2630286693572996
Two,0.544954128440367,43,1.5,3,poly,4.241703033447266
Two,0.58348623853211,32,1.5,3,rbf,4.0551426887512205
Two,0.5926605504587156,13,1.5,4,linear,2.3408658027648928
Two,0.5266055045871559,54,1.5,4,poly,3.804536533355713
Two,0.58348623853211,32,1.5,4,rbf,4.463831853866577
Two,0.5926605504587156,13,2.0,2,linear,3.1065646171569825
Two,0.5944954128440367,4,2.0,2,poly,3.235705041885376
Two,0.5853211009174313,29,2.0,2,rbf,4.723121786117554
Two,0.5926605504587156,13,2.0,3,linear,2.6846900939941407
Two,0.5504587155963303,40,2.0,3,poly,3.3931735038757322
Two,0.5853211009174313,29,2.0,3,rbf,4.164277601242065
Two,0.5926605504587156,13,2.0,4,linear,2.684532117843628
Two,0.5302752293577981,50,2.0,4,poly,3.7193150520324707
Two,0.5853211009174313,29,2.0,4,rbf,4.793794822692871
Two,0.5926605504587156,13,2.5,2,linear,2.8695024490356444
Two,0.5926605504587157,8,2.5,2,poly,3.298437738418579
Two,0.5944954128440367,4,2.5,2,rbf,4.021007061004639
Two,0.5926605504587156,13,2.5,3,linear,2.6410319328308107
Two,0.5504587155963303,40,2.5,3,poly,4.023470115661621
Two,0.5944954128440367,4,2.5,3,rbf,3.745502233505249
Two,0.5926605504587156,13,2.5,4,linear,2.9976123809814452
Two,0.5339449541284405,49,2.5,4,poly,3.346652603149414
Two,0.5944954128440367,4,2.5,4,rbf,4.002981233596802
Two,0.5926605504587156,13,3.0,2,linear,3.7340990543365478
Two,0.5926605504587157,8,3.0,2,poly,3.2354143142700194
Two,0.5926605504587157,8,3.0,2,rbf,3.8138837814331055
Two,0.5926605504587156,13,3.0,3,linear,2.7200271606445314
Two,0.5559633027522936,39,3.0,3,poly,4.0134477615356445
Two,0.5926605504587157,8,3.0,3,rbf,4.082551956176758
Two,0.5926605504587156,13,3.0,4,linear,2.6079654693603516
